  c_id	groups	infall
     1	    97	   667
     2	    87	   710
     3	   144	   507
     4	    96	   452
     6	    60	   546
     7	    54	   467
     9	    34	   539
    10	    50	   355
    11	   110	   413
    12	    73	   380
    15	    68	   389
    16	    46	   374
    17	    79	   412
    18	    37	   453
    20	    26	   379
    22	    22	   269
    24	    22	   466
    25	    39	   314
    26	    54	   331
    27	    59	   425
    28	    49	   380
    29	    29	   404
    30	    38	   502
    31	    62	   390
    32	    43	   367
    33	    30	   383
    34	    38	   365
    35	    53	   392
    37	    15	   307
    38	     9	   218
    39	    51	   408
    40	    41	   306
    41	    25	   353
    42	    45	   324
    43	    25	   355
    44	    49	   353
    45	    22	   389
    46	    53	   347
    48	    30	   326
    50	    32	   304
    52	    21	   371
    53	    36	   285
    54	    51	   340
    55	    50	   365
    56	    29	   364
    58	    39	   305
    59	    18	   355
    60	    20	   306
    61	    43	   299
    63	    52	   271
    64	    64	   259
    67	    32	   340
    68	    28	   339
    69	    17	   330
    70	    41	   391
    71	    33	   377
    72	    37	   334
    73	    50	   345
    74	    15	   349
    75	    23	   294
    76	    32	   245
    77	    69	   243
    79	    18	   335
    80	    40	   296
    81	    62	   299
    82	    17	   327
    83	    35	   270
    84	    31	   274
    85	    39	   255
    86	    19	   220
    87	    21	   287
    90	    57	   249
    91	    33	   252
    92	    20	   225
    93	    45	   216
    95	    23	   289
    96	    43	   233
    97	    31	   298
    99	    18	   283
   100	    21	   248
   101	    52	   233
   102	    18	   271
   103	    39	   259
   104	    37	   246
   105	    36	   170
   106	    19	   257
   107	    15	   296
   108	    16	   251
   109	    11	   243
   111	    34	   256
   118	    30	   258
   119	     3	   201
   120	    13	   290
   121	    45	   207
   122	    45	   222
   123	    23	   234
   124	    21	   251
   125	    21	   242
   126	    17	   254
   127	    22	   278
   128	    19	   251
   129	     9	   208
   130	    14	   267
   132	    14	   231
   133	    32	   213
   135	    14	   260
   136	    50	   221
   137	    21	   240
   138	    10	   256
   139	    39	   224
   140	    30	   200
   141	    29	   310
   142	    18	   282
   143	    30	   227
   144	    38	   196
   145	    14	   245
   146	    18	   243
   147	    17	   235
   149	    30	   240
   151	    22	   229
   152	    23	   261
   153	    11	   247
   154	    20	   216
   155	    17	   243
   156	    22	   250
   157	    23	   240
   158	    42	   242
   160	    21	   286
   161	    34	   225
   162	    29	   229
   163	    23	   247
   164	    32	   221
   165	     8	   232
   166	    17	   202
   167	    15	   232
   168	    50	   181
   169	    17	   189
   170	    40	   215
   172	    19	   242
   173	    43	   231
   175	    37	   230
   176	    23	   211
   177	    23	   200
   178	     9	   196
   179	    14	   307
   180	    35	   191
   181	    14	   211
   183	    19	   211
   184	    45	   237
   185	    13	   178
   186	    11	   207
   187	    53	   207
   188	    39	   252
   189	    29	   252
   190	    38	   182
   191	    23	   248
   193	    28	   226
   194	    16	   232
   196	    14	   211
   197	    19	   230
   198	    91	   263
   200	    26	   222
   201	     8	   203
   202	    12	   194
   203	    23	   244
   204	    21	   182
   206	     4	   219
   209	    22	   157
   210	    35	   187
   212	    21	   210
   213	    14	   237
   214	    13	   219
   215	    21	   194
   216	     2	   199
   218	    41	   204
   219	    21	   231
   221	    16	   218
   222	    17	   198
   223	    11	   230
   224	    29	   227
   225	    15	   183
   226	     9	   260
   227	    11	   241
   228	    23	   173
   229	    25	   203
   230	    18	   235
   232	    20	   211
   234	    12	   218
   235	     9	   189
   237	    15	   194
   238	    19	   155
   239	    13	   160
   240	    26	   153
   241	    21	   182
   242	    12	   208
   243	    16	   255
   244	    40	   220
   245	    30	   201
   246	    17	   221
   247	     3	   171
   249	    24	   234
   251	    18	   192
   253	    14	   176
   254	     8	   236
   255	    23	   154
   256	    27	   244
   257	    27	   214
   258	    15	   226
   259	    23	   186
   260	     9	   227
   261	    23	   179
   262	    35	   168
   263	    26	   224
   265	    13	   178
   266	     9	   228
   267	    27	   186
   268	    11	   183
   269	    16	   183
   271	    16	   219
   274	     7	   187
   276	     3	   226
   281	    42	   184
   282	    12	   195
   283	    27	   170
   284	    16	   180
   285	    15	   186
   286	    15	   235
   287	    28	   257
   288	     8	   188
   290	    21	   223
   291	    21	   236
   293	    13	   205
   294	    20	   125
   295	     7	   185
   296	     5	   170
   298	    37	   196
   299	     5	   217
   300	    10	   176
   301	    22	   171
   302	    42	   194
   303	    51	   172
   305	    19	   153
   306	     8	   208
   307	    16	   186
   308	    33	   184
   310	    28	   232
   312	    22	   186
   314	    11	   181
   315	    27	   183
   317	     3	   200
   318	    23	   223
   319	     4	   155
   320	     6	   206
   321	    11	   176
   322	    10	   220
   323	    13	   165
   324	     5	   208
