  c_id	groups	infall
     1	   123	  1319
     2	   113	  1379
     3	   191	   969
     4	   120	   888
     6	    70	  1004
     7	    75	   939
     9	    50	  1037
    10	    67	   714
    11	   177	   796
    12	    91	   765
    15	    84	   758
    16	    78	   764
    17	   121	   819
    18	    47	   955
    20	   167	   992
    22	    36	   534
    24	    31	   884
    25	    49	   634
    26	    76	   659
    27	    84	   807
    28	    64	   727
    29	    44	   814
    30	    55	   975
    31	    86	   752
    32	    67	   688
    33	    58	   734
    34	    49	   705
    35	    66	   756
    37	    22	   584
    38	    13	   437
    39	    71	   824
    40	    48	   671
    41	    28	   735
    42	    55	   586
    43	    36	   672
    44	    77	   697
    45	    42	   823
    46	    68	   677
    48	    42	   641
    50	    50	   577
    52	    25	   742
    53	    46	   586
    54	    65	   633
    55	    67	   733
    56	    41	   682
    58	    52	   576
    59	    33	   704
    60	    24	   606
    61	    62	   560
    63	    87	   556
    64	    93	   511
    67	    44	   652
    68	    36	   694
    69	    25	   660
    70	    57	   724
    71	    44	   697
    72	    79	   657
    73	    66	   633
    74	    20	   661
    75	    30	   576
    76	    45	   516
    77	    85	   484
    79	    28	   665
    80	    38	   953
    81	    83	   582
    82	    26	   644
    83	    46	   530
    84	    35	   499
    85	    50	   485
    86	    24	   440
    87	    30	   521
    90	    77	   727
    91	    42	   507
    92	    24	   442
    93	    60	   410
    95	    49	   590
    96	    55	   481
    97	    43	   596
    99	    22	   560
   100	    31	   470
   101	    19	   671
   102	    24	   569
   103	    51	   518
   104	    46	   506
   105	    45	   353
   106	    31	   499
   107	    21	   551
   108	    23	   457
   109	    19	   478
   111	    49	   515
   118	    46	   463
   119	     3	   462
   120	    21	   622
   121	    62	   411
   122	    57	   441
   123	    27	   438
   124	    26	   451
   125	    27	   460
   126	    25	   500
   127	    27	   552
   128	    20	   518
   129	    22	   445
   130	    23	   545
   132	    18	   439
   133	    36	   410
   135	    20	   511
   136	    65	   452
   137	    35	   469
   138	    19	   518
   139	    57	   449
   140	    36	   399
   141	    38	   620
   142	    26	   578
   143	    38	   443
   144	    46	   405
   145	    27	   481
   146	    21	   520
   147	    22	   491
   149	    41	   483
   151	    30	   485
   152	    28	   488
   153	    19	   525
   154	    27	   445
   155	    21	   543
   156	    35	   527
   157	    28	   428
   158	    56	   523
   160	    25	   516
   161	    41	   411
   162	    39	   485
   163	    30	   476
   164	    45	   426
   165	    14	   483
   166	    28	   396
   167	    26	   447
   168	    55	   515
   169	    21	   383
   170	    58	   440
   172	    37	   457
   173	    59	   420
   175	    54	   436
   176	    30	   414
   177	    29	   384
   178	    14	   394
   179	    21	   554
   180	    49	   365
   181	    20	   410
   183	    26	   420
   184	    55	   442
   185	    14	   357
   186	    18	   424
   187	    58	   398
   188	    51	   474
   189	    34	   499
   190	    47	   353
   191	    28	   468
   193	    30	   433
   194	    25	   460
   196	    22	   447
   197	    27	   450
   198	   105	   484
   200	    35	   479
   201	    11	   370
   202	    20	   390
   203	    26	   432
   204	    27	   371
   206	    13	   461
   209	    27	   333
   210	    46	   334
   212	    28	   390
   213	    19	   462
   214	    17	   435
   215	    27	   373
   216	     2	   401
   218	    54	   377
   219	    33	   448
   221	    22	   429
   222	    20	   390
   223	    14	   486
   224	    41	   435
   225	    17	   360
   226	    13	   477
   227	    17	   451
   228	    27	   333
   229	    29	   361
   230	    27	   469
   232	    26	   424
   234	    19	   445
   235	     9	   365
   237	    15	   358
   238	    24	   264
   239	    20	   323
   240	    40	   349
   241	    32	   360
   242	    16	   416
   243	    27	   504
   244	    50	   395
   245	   100	   504
   246	    19	   445
   247	     6	   346
   249	    30	   444
   251	    22	   409
   253	    16	   353
   254	    12	   468
   255	    25	   310
   256	    31	   452
   257	    34	   394
   258	    24	   464
   259	    31	   377
   260	    14	   445
   261	    31	   348
   262	    44	   325
   263	    32	   440
   265	    22	   336
   266	    12	   434
   267	    44	   384
   268	    14	   369
   269	    22	   373
   271	    19	   423
   274	    25	   366
   276	     9	   430
   281	    60	   396
   282	    16	   384
   283	    32	   339
   284	    21	   377
   285	    23	   405
   286	    26	   451
   287	    39	   432
   288	    10	   338
   290	    26	   451
   291	    25	   453
   293	    15	   411
   294	    32	   247
   295	    15	   384
   296	     8	   328
   298	    44	   374
   299	    11	   417
   300	    57	   406
   301	    32	   358
   302	    48	   351
   303	    62	   351
   305	    22	   312
   306	    12	   403
   307	    21	   373
   308	    39	   356
   310	    37	   426
   312	    33	   365
   314	    15	   388
   315	    31	   352
   317	     4	   368
   318	    34	   438
   319	     7	   337
   320	    10	   375
   321	    13	   327
   322	    15	   441
   323	    22	   350
   324	     8	   394
