  c_id	groups	infall
     1	   110	  1277
     2	   100	  1321
     3	   170	   916
     4	   104	   843
     6	    63	   961
     7	    64	   889
     9	    45	   982
    10	    42	   676
    11	   158	   760
    12	    84	   732
    15	    68	   719
    16	    75	   737
    17	   115	   781
    18	    42	   912
    20	   150	   944
    22	    29	   511
    24	    28	   849
    25	    47	   610
    26	    64	   622
    27	    82	   785
    28	    60	   709
    29	    38	   771
    30	    45	   922
    31	    76	   709
    32	    54	   650
    33	    49	   692
    34	    43	   673
    35	    56	   726
    37	    21	   560
    38	    13	   424
    39	    68	   788
    40	    46	   650
    41	    23	   695
    42	    42	   546
    43	    32	   643
    44	    73	   661
    45	    37	   784
    46	    58	   630
    48	    38	   607
    50	    47	   559
    52	    22	   704
    53	    37	   558
    54	    58	   606
    55	    63	   701
    56	    36	   650
    58	    46	   557
    59	    26	   671
    60	    21	   574
    61	    57	   543
    63	    69	   520
    64	    76	   488
    67	    41	   627
    68	    36	   661
    69	    22	   636
    70	    56	   694
    71	    41	   674
    72	    56	   608
    73	    56	   601
    74	    20	   636
    75	    27	   541
    76	    42	   495
    77	    79	   464
    79	    28	   630
    80	    34	   916
    81	    77	   559
    82	    23	   610
    83	    42	   507
    84	    31	   463
    85	    42	   458
    86	    19	   424
    87	    29	   492
    90	    73	   693
    91	    32	   476
    92	    20	   413
    93	    50	   379
    95	    35	   552
    96	    54	   457
    97	    41	   569
    99	    21	   537
   100	    25	   450
   101	    19	   641
   102	    23	   544
   103	    46	   489
   104	    42	   482
   105	    40	   332
   106	    31	   480
   107	    18	   531
   108	    23	   438
   109	    13	   452
   111	    43	   494
   118	    42	   433
   119	     3	   444
   120	    17	   602
   121	    60	   397
   122	    53	   426
   123	    24	   418
   124	    21	   425
   125	    23	   442
   126	    21	   477
   127	    25	   523
   128	    17	   489
   129	    12	   413
   130	    23	   526
   132	    16	   419
   133	    30	   385
   135	    17	   482
   136	    62	   432
   137	    31	   434
   138	     9	   497
   139	    54	   431
   140	    36	   394
   141	    33	   583
   142	    23	   553
   143	    32	   421
   144	    44	   391
   145	    25	   461
   146	    20	   503
   147	    18	   468
   149	    37	   453
   151	    28	   472
   152	    25	   452
   153	    16	   501
   154	    21	   424
   155	    18	   526
   156	    35	   503
   157	    27	   407
   158	    52	   497
   160	    22	   486
   161	    35	   392
   162	    39	   463
   163	    28	   457
   164	    41	   415
   165	    14	   460
   166	    25	   372
   167	    25	   422
   168	    51	   502
   169	    19	   368
   170	    52	   412
   172	    36	   429
   173	    55	   397
   175	    51	   412
   176	    29	   404
   177	    21	   353
   178	    13	   367
   179	    17	   519
   180	    44	   345
   181	    19	   394
   183	    24	   402
   184	    53	   427
   185	    13	   343
   186	    16	   406
   187	    48	   373
   188	    46	   456
   189	    28	   473
   190	    44	   334
   191	    27	   449
   193	    26	   407
   194	    24	   445
   196	    21	   428
   197	    25	   426
   198	    97	   458
   200	    34	   462
   201	     9	   354
   202	    19	   369
   203	    22	   415
   204	    24	   353
   206	     8	   430
   209	    25	   320
   210	    42	   318
   212	    23	   362
   213	    18	   449
   214	    16	   420
   215	    18	   353
   216	     2	   385
   218	    51	   361
   219	    31	   435
   221	    22	   412
   222	    19	   376
   223	    13	   465
   224	    40	   414
   225	    14	   347
   226	    11	   465
   227	    17	   437
   228	    25	   318
   229	    27	   339
   230	    26	   443
   232	    25	   407
   234	    19	   418
   235	     7	   351
   237	    13	   339
   238	    21	   248
   239	    19	   309
   240	    40	   336
   241	    23	   338
   242	    11	   388
   243	    24	   485
   244	    46	   377
   245	    96	   487
   246	    19	   424
   247	     6	   331
   249	    25	   419
   251	    21	   391
   253	    16	   336
   254	    10	   447
   255	    25	   299
   256	    25	   434
   257	    34	   378
   258	    23	   449
   259	    27	   348
   260	    14	   419
   261	    30	   328
   262	    42	   312
   263	    28	   427
   265	    20	   327
   266	    10	   415
   267	    39	   365
   268	    12	   353
   269	    21	   354
   271	    14	   396
   274	    14	   340
   276	     8	   406
   281	    59	   386
   282	    15	   364
   283	    27	   319
   284	    20	   362
   285	    22	   390
   286	    19	   427
   287	    34	   402
   288	     8	   324
   290	    22	   430
   291	    25	   441
   293	    15	   398
   294	    31	   236
   295	     9	   360
   296	     7	   312
   298	    34	   348
   299	     6	   383
   300	    49	   394
   301	    31	   341
   302	    47	   339
   303	    58	   335
   305	    14	   291
   306	    10	   381
   307	    19	   354
   308	    31	   341
   310	    29	   397
   312	    31	   346
   314	    11	   371
   315	    27	   335
   317	     3	   349
   318	    33	   414
   319	     7	   323
   320	     6	   352
   321	     8	   306
   322	    13	   420
   323	    21	   328
   324	     6	   367
