  c_id	groups	infall
     1	    84	   628
     2	    75	   653
     3	   123	   455
     4	    80	   410
     6	    53	   504
     7	    47	   418
     9	    29	   485
    10	    32	   317
    11	    94	   380
    12	    66	   349
    15	    52	   350
    16	    43	   349
    17	    73	   377
    18	    33	   412
    20	   109	   447
    22	    22	   248
    24	    19	   433
    25	    37	   292
    26	    48	   295
    27	    57	   404
    28	    45	   362
    29	    25	   362
    30	    35	   453
    31	    52	   347
    32	    39	   329
    33	    26	   342
    34	    32	   337
    35	    47	   363
    37	    14	   287
    38	     9	   206
    39	    48	   372
    40	    39	   288
    41	    20	   315
    42	    32	   288
    43	    21	   327
    44	    45	   319
    45	    21	   350
    46	    43	   302
    48	    26	   293
    50	    29	   286
    52	    18	   335
    53	    27	   258
    54	    44	   314
    55	    46	   335
    56	    27	   333
    58	    35	   287
    59	    18	   322
    60	    17	   278
    61	    38	   284
    63	    48	   238
    64	    53	   238
    67	    30	   316
    68	    28	   307
    69	    15	   307
    70	    41	   364
    71	    30	   354
    72	    34	   288
    73	    46	   315
    74	    16	   325
    75	    20	   262
    76	    29	   224
    77	    63	   223
    79	    18	   301
    80	    24	   420
    81	    57	   276
    82	    16	   294
    83	    31	   247
    84	    27	   240
    85	    31	   229
    86	    16	   205
    87	    21	   262
    90	    49	   336
    91	    26	   222
    92	    17	   197
    93	    37	   186
    95	    31	   267
    96	    43	   210
    97	    30	   272
    99	    17	   260
   100	    15	   228
   101	    10	   307
   102	    17	   248
   103	    34	   232
   104	    33	   224
   105	    31	   149
   106	    19	   240
   107	    12	   276
   108	    16	   233
   109	     7	   217
   111	    30	   237
   118	    27	   229
   119	     3	   185
   120	    10	   271
   121	    43	   195
   122	    41	   207
   123	    20	   217
   124	    17	   227
   125	    17	   224
   126	    14	   232
   127	    20	   250
   128	    16	   225
   129	     7	   177
   130	    14	   248
   132	    12	   211
   133	    26	   189
   135	    12	   231
   136	    47	   202
   137	    18	   206
   138	     5	   236
   139	    36	   207
   140	    30	   195
   141	    24	   275
   142	    15	   259
   143	    25	   206
   144	    36	   183
   145	    12	   225
   146	    17	   226
   147	    13	   212
   149	    26	   211
   151	    20	   217
   152	    20	   225
   153	     8	   223
   154	    14	   198
   155	    16	   226
   156	    22	   227
   157	    22	   221
   158	    38	   217
   160	    18	   257
   161	    29	   207
   162	    29	   207
   163	    22	   230
   164	    28	   210
   165	     8	   209
   166	    14	   178
   167	    14	   210
   168	    31	   224
   169	    15	   175
   170	    35	   190
   172	    18	   215
   173	    40	   209
   175	    34	   206
   176	    22	   201
   177	    18	   170
   178	     8	   170
   179	    12	   272
   180	    30	   172
   181	    13	   195
   183	    17	   194
   184	    43	   224
   185	    12	   166
   186	     9	   189
   187	    44	   183
   188	    35	   236
   189	    23	   226
   190	    36	   163
   191	    22	   232
   193	    24	   201
   194	    15	   218
   196	    13	   193
   197	    17	   207
   198	    83	   238
   200	    25	   206
   201	     6	   187
   202	    11	   173
   203	    20	   227
   204	    18	   164
   206	     3	   191
   209	    22	   145
   210	    31	   172
   212	    16	   184
   213	    13	   226
   214	    12	   207
   215	    17	   175
   216	     2	   183
   218	    38	   189
   219	    19	   218
   221	    16	   201
   222	    16	   184
   223	    11	   210
   224	    29	   207
   225	    12	   170
   226	     8	   249
   227	    11	   227
   228	    21	   159
   229	    23	   181
   230	    17	   211
   232	    19	   194
   234	    12	   194
   235	     7	   176
   237	    13	   175
   238	    17	   139
   239	    12	   149
   240	    26	   141
   241	    19	   164
   242	     9	   184
   243	    14	   237
   244	    36	   202
   245	    73	   246
   246	    17	   201
   247	     3	   158
   249	    23	   212
   251	    17	   174
   253	    14	   160
   254	     6	   216
   255	    23	   143
   256	    22	   226
   257	    27	   198
   258	    14	   212
   259	    20	   158
   260	     9	   206
   261	    23	   160
   262	    33	   156
   263	    22	   212
   265	    12	   169
   266	     7	   209
   267	    27	   169
   268	     9	   168
   269	    15	   165
   271	    11	   193
   274	     7	   164
   276	     3	   205
   281	    41	   175
   282	    11	   178
   283	    22	   151
   284	    15	   166
   285	    14	   171
   286	    13	   212
   287	    23	   227
   288	     6	   174
   290	    18	   203
   291	    21	   224
   293	    13	   192
   294	    19	   115
   295	     7	   161
   296	     4	   154
   298	    27	   170
   299	     4	   184
   300	    34	   169
   301	    21	   154
   302	    41	   182
   303	    47	   157
   305	    12	   134
   306	     6	   186
   307	    14	   167
   308	    25	   169
   310	    20	   204
   312	    20	   167
   314	     8	   166
   315	    23	   167
   317	     2	   182
   318	    22	   200
   319	     4	   141
   320	     2	   184
   321	     7	   156
   322	     9	   200
   323	    12	   144
   324	     3	   182
