  c_id	groups	infall
     1	   100	   667
     2	    94	   710
     3	   148	   507
     4	   100	   452
     6	    63	   546
     7	    62	   467
     9	    35	   539
    10	    61	   355
    11	   110	   413
    12	    75	   380
    15	    71	   389
    16	    47	   374
    17	    79	   412
    18	    39	   453
    20	    28	   379
    22	    35	   269
    24	    24	   466
    25	    39	   314
    26	    66	   331
    27	    62	   425
    28	    49	   380
    29	    35	   404
    30	    47	   502
    31	    65	   390
    32	    60	   367
    33	    38	   383
    34	    39	   365
    35	    60	   392
    37	    16	   307
    38	    10	   218
    39	    54	   408
    40	    41	   306
    41	    26	   353
    42	    49	   324
    43	    25	   355
    44	    50	   353
    45	    27	   389
    46	    54	   347
    48	    32	   326
    50	    33	   304
    52	    21	   371
    53	    37	   285
    54	    54	   340
    55	    51	   365
    56	    35	   364
    58	    40	   305
    59	    33	   355
    60	    20	   306
    61	    46	   299
    63	    69	   271
    64	    70	   259
    67	    32	   340
    68	    29	   339
    69	    22	   330
    70	    42	   391
    71	    33	   377
    72	    66	   334
    73	    62	   345
    74	    19	   349
    75	    23	   294
    76	    36	   245
    77	    69	   243
    79	    19	   335
    80	    41	   296
    81	    64	   299
    82	    23	   327
    83	    37	   270
    84	    32	   274
    85	    41	   255
    86	    22	   220
    87	    22	   287
    90	    59	   249
    91	    38	   252
    92	    21	   225
    93	    47	   216
    95	    25	   289
    96	    44	   233
    97	    33	   298
    99	    18	   283
   100	    21	   248
   101	    54	   233
   102	    18	   271
   103	    39	   259
   104	    37	   246
   105	    36	   170
   106	    20	   257
   107	    15	   296
   108	    16	   251
   109	    16	   243
   111	    36	   256
   118	    34	   258
   119	     3	   201
   120	    19	   290
   121	    45	   207
   122	    45	   222
   123	    23	   234
   124	    24	   251
   125	    22	   242
   126	    19	   254
   127	    23	   278
   128	    19	   251
   129	    19	   208
   130	    15	   267
   132	    14	   231
   133	    32	   213
   135	    18	   260
   136	    51	   221
   137	    22	   240
   138	    21	   256
   139	    39	   224
   140	    30	   200
   141	    29	   310
   142	    20	   282
   143	    33	   227
   144	    41	   196
   145	    15	   245
   146	    18	   243
   147	    18	   235
   149	    32	   240
   151	    23	   229
   152	    24	   261
   153	    11	   247
   154	    20	   216
   155	    24	   243
   156	    22	   250
   157	    26	   240
   158	    42	   242
   160	    23	   286
   161	    35	   225
   162	    31	   229
   163	    25	   247
   164	    33	   221
   165	     8	   232
   166	    20	   202
   167	    15	   232
   168	    51	   181
   169	    17	   189
   170	    40	   215
   172	    19	   242
   173	    47	   231
   175	    40	   230
   176	    24	   211
   177	    27	   200
   178	     9	   196
   179	    19	   307
   180	    36	   191
   181	    15	   211
   183	    20	   211
   184	    46	   237
   185	    13	   178
   186	    11	   207
   187	    55	   207
   188	    40	   252
   189	    30	   252
   190	    40	   182
   191	    23	   248
   193	    29	   226
   194	    17	   232
   196	    14	   211
   197	    19	   230
   198	    92	   263
   200	    26	   222
   201	    10	   203
   202	    13	   194
   203	    25	   244
   204	    21	   182
   206	    10	   219
   209	    23	   157
   210	    36	   187
   212	    23	   210
   213	    14	   237
   214	    13	   219
   215	    28	   194
   216	     3	   199
   218	    42	   204
   219	    22	   231
   221	    16	   218
   222	    17	   198
   223	    12	   230
   224	    31	   227
   225	    16	   183
   226	    16	   260
   227	    13	   241
   228	    23	   173
   229	    25	   203
   230	    20	   235
   232	    20	   211
   234	    12	   218
   235	    11	   189
   237	    15	   194
   238	    21	   155
   239	    14	   160
   240	    26	   153
   241	    30	   182
   242	    16	   208
   243	    17	   255
   244	    41	   220
   245	    46	   201
   246	    17	   221
   247	     4	   171
   249	    28	   234
   251	    19	   192
   253	    14	   176
   254	     8	   236
   255	    23	   154
   256	    30	   244
   257	    28	   214
   258	    15	   226
   259	    27	   186
   260	    11	   227
   261	    24	   179
   262	    35	   168
   263	    26	   224
   265	    13	   178
   266	     9	   228
   267	    32	   186
   268	    12	   183
   269	    17	   183
   271	    17	   219
   274	    22	   187
   276	     5	   226
   281	    42	   184
   282	    13	   195
   283	    27	   170
   284	    17	   180
   285	    15	   186
   286	    24	   235
   287	    29	   257
   288	    10	   188
   290	    23	   223
   291	    22	   236
   293	    16	   205
   294	    20	   125
   295	    21	   185
   296	     6	   170
   298	    38	   196
   299	    16	   217
   300	    10	   176
   301	    22	   171
   302	    43	   194
   303	    51	   172
   305	    19	   153
   306	     9	   208
   307	    17	   186
   308	    33	   184
   310	    31	   232
   312	    23	   186
   314	    12	   181
   315	    28	   183
   317	     3	   200
   318	    23	   223
   319	     5	   155
   320	     6	   206
   321	    12	   176
   322	    11	   220
   323	    13	   165
   324	     6	   208
